W,L,seed,goodput,goodput_mbps,total_time,retransmissions,buffer_events,delayed_acks
2,128,0,2073653.4249579464,2.0736534249579464,404.5327873518749,1286,3,0
2,256,0,2827624.37557517,2.8276243755751698,296.6662783239611,2362,10,3
2,512,0,3058586.755893824,3.058586755893824,274.26418373895564,4234,52,15
2,1024,0,3062421.773338814,3.062421773338814,273.92072747883765,6463,237,71
2,2048,0,2686435.0866081095,2.6864350866081095,312.2579824026736,11447,698,209
2,4096,0,2130348.9921677555,2.1303489921677556,393.766844345259,19373,3231,969
4,128,0,3178222.405965477,3.178222405965477,263.94024484424705,1063,3,0
4,256,0,4048587.421473858,4.048587421473858,207.198391110601,2223,11,3
4,512,0,4778913.592424178,4.7789135924241775,175.5337868694284,3868,43,12
4,1024,0,4506405.497286125,4.506405497286125,186.14853911952306,6596,163,48
4,2048,0,4043017.9407605752,4.043017940760575,207.4838183483779,10420,660,198
4,4096,0,3552621.0826661335,3.5526210826661333,236.1244783725881,19341,3594,1078
8,128,0,4412076.196128017,4.412076196128017,190.12835742414734,935,3,0
8,256,0,5467083.871556781,5.467083871556781,153.43843623184253,1973,12,3
8,512,0,5911320.883091436,5.911320883091435,141.9075053765821,3622,45,13
8,1024,0,5995888.14776885,5.99588814776885,139.90601214136245,5819,201,60
8,2048,0,5324756.448051939,5.3247564480519385,157.53975006817393,9495,950,285
8,4096,0,4726561.098746113,4.726561098746113,177.47804005380095,17660,3705,1111
16,128,0,5856781.987710428,5.856781987710429,143.22896118725652,1014,2,0
16,256,0,6593268.346445018,6.593268346445019,127.22988902041276,1854,11,3
16,512,0,7416507.967267112,7.416507967267112,113.10724719805154,3082,56,16
16,1024,0,7096862.395219384,7.096862395219384,118.20164366792241,5500,203,60
16,2048,0,6266600.7462335965,6.266600746233596,133.86217408284372,9959,663,198
16,4096,0,5872656.684496289,5.872656684496289,142.841791214286,16175,2814,844
32,128,0,6178589.376130342,6.178589376130342,135.7689836519577,966,3,0
32,256,0,7671755.37603074,7.67175537603074,109.34404955362575,2034,10,3
32,512,0,8182526.554691746,8.182526554691746,102.51855516668125,2909,57,17
32,1024,0,8098638.501462046,8.098638501462046,103.58047218042398,5351,165,49
32,2048,0,7162017.094852434,7.162017094852433,117.12633311122862,8942,873,261
32,4096,0,6386661.206953785,6.386661206953785,131.34574902558631,15929,3164,949
64,128,0,6733715.9721568115,6.733715972156811,124.57620776828111,930,3,0
64,256,0,8049021.758055597,8.049021758055597,104.21897532584677,1982,12,3
64,512,0,9120686.874737615,9.120686874737615,91.97342387923305,2965,40,12
64,1024,0,8358865.541484174,8.358865541484175,100.35581931983732,4902,210,63
64,2048,0,7753341.225050299,7.753341225050299,108.19345823317069,9012,930,279
64,4096,0,6629518.7158212345,6.629518715821234,126.53419289669895,14292,3527,1058
2,128,1,2019161.4589418538,2.019161458941854,415.45008512573673,1220,2,0
2,256,1,2727365.0935902977,2.7273650935902976,307.5718765967359,2430,14,4
2,512,1,3253148.868191369,3.253148868191369,257.8611781963657,4026,40,12
2,1024,1,3070124.488884085,3.070124488884085,273.23348060876367,6882,224,67
2,2048,1,2536149.492723569,2.5361494927235686,330.7615747442191,11149,917,275
2,4096,1,2138626.379094562,2.138626379094562,392.24280042554767,19695,2964,889
4,128,1,3064532.0639988636,3.0645320639988634,273.73210084980565,1160,3,0
4,256,1,4398015.338402863,4.398015338402863,190.73621519124396,2257,14,4
4,512,1,4773964.013203065,4.773964013203065,175.7157778483485,3800,41,12
4,1024,1,4678694.36099169,4.67869436099169,179.29378054568969,6289,180,54
4,2048,1,3802051.819625783,3.802051819625783,220.63371037445904,11076,792,237
4,4096,1,3446367.050374317,3.446367050374317,243.4043698012055,19377,3723,1116
8,128,1,4684568.884101071,4.684568884101071,179.06894332304608,1004,2,0
8,256,1,5324503.027391845,5.324503027391845,157.54724820034662,2252,12,3
8,512,1,6426310.614776454,6.426310614776454,130.53536473496163,3493,52,15
8,1024,1,5767579.678222882,5.767579678222882,145.4441632020022,6380,176,52
8,2048,1,5249334.778829965,5.249334778829965,159.80325800195496,10789,875,262
