W,L,run_id,goodput,retransmissions,avg_rtt,utilization,buffer_events
2,128,0,233016.87955026017,3895,0.004394531426119841,0.023301687955026018,0
2,128,1,233016.88887092978,4088,0.004394531250338696,0.02330168888709298,0
2,128,2,233016.86660488127,5272,0.004394531670260427,0.023301686660488128,0
2,128,3,233016.86349797924,5153,0.0043945317288543815,0.023301686349797925,0
2,128,4,233016.82776874732,4279,0.004394532402682296,0.023301682776874735,0
2,128,5,233016.83657159636,4772,0.004394532236666802,0.023301683657159636,0
2,128,6,233016.88731749155,5218,0.004394531279635426,0.02330168873174916,0
2,128,7,233016.86142672302,4569,0.004394531767916795,0.023301686142672303,0
2,128,8,233016.8738542958,4661,0.004394531533541651,0.023301687385429582,0
2,128,9,233016.83139345783,4818,0.004394532334322823,0.023301683139345785,0
2,256,0,233016.8834861888,4014,0.008789062703782095,0.02330168834861888,0
2,256,1,233016.84112890947,4099,0.008789064301438223,0.023301684112890946,0
2,256,2,233016.83336167,5381,0.008789064594407474,0.023301683336167,0
2,256,3,233016.83450086848,5250,0.008789064551438523,0.02330168345008685,0
2,256,4,233016.85283152614,4367,0.008789063860032165,0.023301685283152615,0
2,256,5,233016.8742690795,4848,0.008789063051438254,0.02330168742690795,0
2,256,6,233016.88400399554,5276,0.008789062684251168,0.023301688400399555,0
2,256,7,233016.83688282486,4683,0.008789064461594505,0.02330168368828249,0
2,256,8,233016.8473426858,4713,0.008789064067063411,0.02330168473426858,0
2,256,9,233016.87530470005,4931,0.00878906301237613,0.023301687530470006,0
2,512,0,233016.83978204697,4214,0.017578128704479928,0.023301683978204698,0
2,512,1,233016.85987327728,4306,0.017578127188854695,0.02330168598732773,0
2,512,2,233016.8259046122,5549,0.01757812975135426,0.023301682590461222,0
2,512,3,233016.83698585496,5404,0.017578128915416717,0.023301683698585495,0
2,512,4,233016.85044904103,4417,0.017578127899792222,0.023301685044904107,0
2,512,5,233016.869193952,5075,0.01757812648572961,0.023301686919395204,0
2,512,6,233016.8328433297,5452,0.01757812922791707,0.02330168328433297,0
2,512,7,233016.86681200404,4871,0.017578126665416957,0.023301686681200407,0
2,512,8,233016.87747899286,4880,0.017578125860729835,0.023301687747899286,0
2,512,9,233016.83201482362,5102,0.01757812929041722,0.023301683201482366,0
2,1024,0,257195.9107358147,4004,0.031851206251932294,0.02571959107358147,0
2,1024,1,257304.2264871103,4000,0.03183779804880267,0.025730422648711032,0
2,1024,2,248500.21083816735,5490,0.032965766799026734,0.024850021083816738,0
2,1024,3,248514.12476592264,5460,0.0329639210958979,0.024851412476592265,0
2,1024,4,256068.49330493485,4174,0.031991440626960285,0.025606849330493488,0
2,1024,5,250139.00671871204,5099,0.032749790236482876,0.025013900671871207,0
2,1024,6,248502.64014185144,5475,0.032965444533401354,0.024850264014185146,0
2,1024,7,251886.9644307725,4863,0.032522524611437176,0.025188696443077252,0
2,1024,8,252783.23762735075,4718,0.03240721211141588,0.02527832376273508,0
2,1024,9,251443.76951207686,4952,0.03257984883020351,0.02514437695120769,0
2,2048,0,492836.4701792778,2395,0.0332442929680915,0.049283647017927784,0
2,2048,1,486435.7582632966,2689,0.033681734374329676,0.048643575826329666,0
