W,L,run_id,goodput,retransmissions,avg_rtt,utilization,buffer_events
2,128,0,1437074801.9625576,0,7.125585937500001e-07,143.70748019625577,0
2,128,1,53462399.257322036,0,1.9153648437499863e-05,5.3462399257322035,0
2,128,2,56176442.85579623,0,1.8228281249999878e-05,5.617644285579623,0
2,128,3,44137106.13907902,0,2.320043359375004e-05,4.413710613907902,0
2,128,4,81204512.11900173,0,1.2610136718749963e-05,8.120451211900173,0
2,128,5,1991794061.3317933,0,5.141093750000001e-07,199.17940613317933,0
2,128,6,8701586669.322178,0,1.1767968750000002e-07,870.1586669322179,0
2,128,7,458648116.2016808,0,2.232648437499998e-06,45.86481162016808,0
2,128,8,150731364.28375515,0,6.793542968750002e-06,15.073136428375516,0
2,128,9,172131352.06476983,0,5.948945312500002e-06,17.213135206476984,0
2,256,0,1434055984.9889765,0,1.4281171875000005e-06,143.40559849889766,0
2,256,1,53361407.99989635,0,3.837979687499959e-05,5.336140799989636,0
2,256,2,1717299163.4403105,0,1.1925703125000003e-06,171.72991634403107,0
2,256,3,702862995.5545547,0,2.9137968749999993e-06,70.28629955545547,0
2,256,4,81050254.78157999,0,2.526827343749994e-05,8.105025478158,0
2,256,5,1987927321.2606542,0,1.0302187500000001e-06,198.79273212606546,0
2,256,6,8673946131.956852,0,2.36109375e-07,867.3946131956853,0
2,256,7,457776706.7263199,0,4.473796874999997e-06,45.777670672632,0
2,256,8,150443478.38562906,0,1.3613085937500051e-05,15.044347838562908,0
2,256,9,171802847.21484864,0,1.1920640625000042e-05,17.180284721484867,0
2,512,0,1428056241.0455036,0,2.8682343750000006e-06,142.80562410455036,0
2,512,1,64997092.85387571,0,6.301820312499961e-05,6.4997092853875715,0
2,512,2,1710129233.0173721,0,2.3951406250000005e-06,171.01292330173723,0
2,512,3,700219566.5297273,0,5.849593749999997e-06,70.02195665297273,0
2,512,4,531054698.97433156,0,7.71295312499999e-06,53.10546989743316,0
2,512,5,1980238706.753286,0,2.0684375e-06,198.0238706753286,0
2,512,6,8619188531.597292,0,4.7521874999999996e-07,861.9188531597292,0
2,512,7,456043783.98878336,0,8.981593749999985e-06,45.60437839887834,0
2,512,8,149870993.08170748,0,2.733017187499999e-05,14.98709930817075,0
2,512,9,171149584.83115777,0,2.3932281249999988e-05,17.114958483115778,0
2,1024,0,1416206112.272626,0,5.784468750000002e-06,141.62061122726263,0
2,1024,1,75692188.64143674,0,0.00010822781249999939,7.569218864143675,0
2,1024,2,3057964421.1140265,0,2.6789062500000007e-06,305.7964421114027,0
2,1024,3,694991913.8895519,0,1.1787187499999997e-05,69.4991913889552,0
2,1024,4,526955448.4802074,0,1.5545906249999985e-05,52.69554484802074,0
2,1024,5,1965038529.5793223,0,4.168875000000002e-06,196.50385295793225,0
2,1024,6,8511721540.359763,0,9.624375e-07,851.1721540359764,0
2,1024,7,804075836.0709035,0,1.0188093750000003e-05,80.40758360709036,0
2,1024,8,2184260300.7957335,0,3.750468750000001e-06,218.42603007957334,0
2,1024,9,848708534.8718244,0,9.652312500000003e-06,84.87085348718244,0
2,2048,0,1393086222.9307826,0,1.17609375e-05,139.30862229307826,0
2,2048,1,273758191.2643916,0,5.984843750000005e-05,27.37581912643916,0
2,2048,2,3012976265.731854,0,5.437812500000001e-06,301.2976265731854,0
2,2048,3,1073770961.8488204,0,1.5258375000000003e-05,107.37709618488206,0
2,2048,4,518943915.55758846,0,3.157181249999997e-05,51.89439155575885,0
2,2048,5,1935327643.740956,0,8.46575e-06,193.53276437409562,0
2,2048,6,8304631565.608566,0,1.9728749999999997e-06,830.4631565608568,0
2,2048,7,791643388.4260082,0,2.0696187500000006e-05,79.16433884260083,0
2,2048,8,2152125904.0941815,0,7.6129375000000005e-06,215.21259040941817,0
2,2048,9,835550682.4165385,0,1.9608625000000006e-05,83.55506824165386,0
2,4096,0,2893517445.3900237,0,1.1324625e-05,289.3517445390024,0
